primary_industry;secteur;sous_secteur
Automobile Manufacturers;Consumer Discretionary;Automobiles and Components
Automotive Retail;Consumer Discretionary;Automobiles and Components
Motorcycle Manufacturers;Consumer Discretionary;Automobiles and Components
Tires and Rubber;Consumer Discretionary;Automobiles and Components
Diversified Banks;Financials;Banks
Regional Banks;Financials;Banks
Commercial Printing;Industrials, commercial and transportation;Commercial and Professional Services
Data Processing and Outsourced Services;Industrials, commercial and transportation;Commercial and Professional Services
Diversified Support Services;Industrials, commercial and transportation;Commercial and Professional Services
Environmental and Facilities Services;Industrials, commercial and transportation;Commercial and Professional Services
Human Resource and Employment Services;Industrials, commercial and transportation;Commercial and Professional Services
Office Services and Supplies;Industrials, commercial and transportation;Commercial and Professional Services
Research and Consulting Services;Industrials, commercial and transportation;Commercial and Professional Services
Security and Alarm Services;Industrials, commercial and transportation;Commercial and Professional Services
Aerospace and Defense;Industrials, capital goods;Construction, Engineering, Building, Aerospace and Defense
Building Products;Industrials, capital goods;Construction, Engineering, Building, Aerospace and Defense
Construction and Engineering;Industrials, capital goods;Construction, Engineering, Building, Aerospace and Defense
Apparel, Accessories and Luxury Goods;Consumer Discretionary;Consumer Discretionary Distribution and Retail
Auto Parts and Equipment;Consumer Discretionary;Consumer Discretionary Distribution and Retail
Computer and Electronics Retail;Consumer Discretionary;Consumer Discretionary Distribution and Retail
Distributors;Consumer Discretionary;Consumer Discretionary Distribution and Retail
Home Improvement Retail;Consumer Discretionary;Consumer Discretionary Distribution and Retail
Homefurnishing Retail;Consumer Discretionary;Consumer Discretionary Distribution and Retail
Apparel Retail;Consumer Discretionary;Consumer Durables and Apparel
Consumer Electronics;Consumer Discretionary;Consumer Durables and Apparel
Footwear;Consumer Discretionary;Consumer Durables and Apparel
Home Furnishings;Consumer Discretionary;Consumer Durables and Apparel
Homebuilding;Consumer Discretionary;Consumer Durables and Apparel
Household Appliances;Consumer Discretionary;Consumer Durables and Apparel
Housewares and Specialties;Consumer Discretionary;Consumer Durables and Apparel
Leisure Products;Consumer Discretionary;Consumer Durables and Apparel
Textiles;Consumer Discretionary;Consumer Durables and Apparel
Casinos and Gaming;Consumer Discretionary;Consumer Services
Education Services;Consumer Discretionary;Consumer Services
Hotels, Resorts and Cruise Lines;Consumer Discretionary;Consumer Services
Leisure Facilities;Consumer Discretionary;Consumer Services
Restaurants;Consumer Discretionary;Consumer Services
Specialized Consumer Services;Consumer Discretionary;Consumer Services
Department Stores;Consumer Staples;Consumer Staples Distribution, Retail and household products
Drug Retail;Consumer Staples;Consumer Staples Distribution, Retail and household products
Food Distributors;Consumer Staples;Consumer Staples Distribution, Retail and household products
Food Retail;Consumer Staples;Consumer Staples Distribution, Retail and household products
General Merchandise Stores;Consumer Staples;Consumer Staples Distribution, Retail and household products
Hypermarkets and Super Centers;Consumer Staples;Consumer Staples Distribution, Retail and household products
Internet and Direct Marketing Retail;Consumer Staples;Consumer Staples Distribution, Retail and household products
